State - Time (s),State - Flight Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Apogee Est (m),State - Time to Apogee (s),State - Off-Vert Angle (deg),State - Time in Stage (s),MS5611 - Pres (hPa),MS5611 - Temp (C),MS5611 - Alt ASL (m),MAX-M10S - Lat (deg),MAX-M10S - Lon (deg),MAX-M10S - Alt (m),MAX-M10S - vN (m/s),MAX-M10S - vE (m/s),MAX-M10S - vD (m/s),MAX-M10S - Fix Quality,MAX-M10S - Time of Day,BMI088 - Acc X (m/s^2),BMI088 - Acc Y (m/s^2),BMI088 - Acc Z (m/s^2),BMI088 - Gyro X (rad/s),BMI088 - Gyro Y (rad/s),BMI088 - Gyro Z (rad/s),MotorDriver - Motor Position,MotorDriver - Motor Angle,MotorDriver - Motor Velocity,MotorDriver - Battery Voltage,Bat Voltage - Voltage (V)
42.999,4,38.986,-76.026,125.523,-1.802,-2.229,-6.618,-6.199,-0.596,1.744,687.037,0.000,171.056,28.809,999.360,30.340,116.223,39.0830834,-75.8758224,104.615,-2.207,5.077,6.404,24,13:24:36,-12.060,-2.694,4.425,0.469,-0.307,-0.247,0.032,0.1,0.003,21.601,3.960
43.273,4,38.925,-75.999,123.797,-2.656,-1.760,-6.514,-4.527,0.325,0.224,687.037,0.000,169.557,29.082,999.560,30.330,114.540,39.0830762,-75.8758055,102.703,-3.764,4.691,6.171,26,13:24:36,-10.487,-2.184,2.557,0.411,0.443,0.317,0.032,0.1,0.015,21.615,3.954
43.543,4,38.911,-75.966,122.173,-2.638,-1.329,-6.424,-0.521,-0.664,0.517,687.037,0.000,159.616,29.353,999.760,30.330,112.857,39.0830694,-75.8757951,101.406,-4.419,4.266,6.197,26,13:24:37,-9.927,0.963,-2.808,0.528,0.626,0.324,0.032,0.1,-0.005,21.606,3.949
43.813,4,38.948,-75.958,120.697,-1.984,-1.298,-6.429,0.156,-0.926,-3.406,687.037,0.000,155.745,29.623,999.940,30.330,111.343,39.0830578,-75.8757814,99.578,-4.120,3.880,6.102,24,13:24:37,-5.797,1.142,-2.643,0.663,-0.134,0.006,0.032,0.1,-0.015,21.606,3.949
44.087,4,38.979,-75.957,118.461,-1.525,-1.237,-7.290,-1.225,-1.086,-2.063,687.037,0.000,160.834,29.897,1000.220,30.320,108.989,39.0830472,-75.8757685,97.669,-4.119,3.649,6.911,24,13:24:37,-7.736,0.963,-1.386,0.535,-0.545,-0.128,0.032,0.1,-0.015,21.578,3.937
44.358,4,38.976,-75.944,116.844,-1.889,-1.043,-6.691,-3.907,-0.333,2.178,687.037,0.000,167.754,30.168,1000.360,30.330,107.812,39.0830400,-75.8757603,96.202,-4.110,3.778,7.667,23,13:24:37,-12.491,0.129,1.745,0.366,-0.305,-0.058,0.032,0.1,-0.005,21.594,3.954
44.632,4,38.949,-75.935,115.060,-2.181,-0.882,-6.987,-3.086,-0.185,-0.395,687.037,0.000,168.025,30.442,1000.570,30.320,106.046,39.0830282,-75.8757480,93.868,-4.877,3.231,7.201,22,13:24:38,-9.754,-0.180,1.738,0.028,0.117,-0.045,0.032,0.1,-0.014,21.599,3.949
44.907,4,38.938,-75.927,113.136,-2.245,-0.783,-7.257,-1.975,-0.833,0.330,687.037,0.000,162.959,30.717,1000.830,30.310,103.861,39.0830137,-75.8757387,91.774,-5.527,2.730,7.786,20,13:24:38,-10.343,-0.323,-0.575,-0.187,0.354,-0.130,0.032,0.1,0.008,21.608,3.954
45.182,4,38.957,-75.926,111.092,-1.801,-0.773,-7.429,0.155,-0.847,-0.697,687.037,0.000,159.508,30.991,1001.090,30.310,101.676,39.0829987,-75.8757307,89.574,-5.785,2.444,8.035,21,13:24:38,-8.612,-0.345,-3.081,-0.545,0.028,0.043,0.032,0.1,-0.038,21.587,3.954
45.451,4,38.988,-75.941,109.388,-1.476,-1.209,-6.604,-1.378,-3.610,3.602,687.037,0.000,162.985,31.261,1001.290,30.310,99.996,39.0829886,-75.8757257,88.117,-5.411,2.201,7.790,20,13:24:38,-13.432,2.859,-2.492,-0.398,-0.373,-0.017,0.032,0.1,0.015,21.594,3.949
45.725,4,38.985,-75.970,107.209,-1.598,-1.580,-6.691,-2.303,-2.133,2.041,687.037,0.000,166.688,31.535,1001.510,30.300,98.148,39.0829732,-75.8757194,86.065,-5.583,2.082,6.866,22,13:24:39,-12.240,0.611,0.338,-0.219,-0.247,-0.492,0.032,0.1,-0.017,21.603,3.954
45.999,4,38.969,-75.972,105.168,-1.802,-1.414,-6.559,-1.799,-0.436,1.393,687.037,0.000,165.087,31.808,1001.790,30.300,95.796,39.0829573,-75.8757126,84.140,-6.081,1.935,6.562,21,13:24:39,-11.198,-1.860,0.259,-0.251,0.055,0.015,0.032,0.1,0.024,21.587,3.943
46.273,4,38.969,-75.966,103.725,-1.725,-1.425,-6.129,-0.837,-2.157,0.940,687.037,0.000,166.075,32.083,1001.980,30.290,94.201,39.0829396,-75.8757078,82.367,-6.657,1.336,6.178,20,13:24:39,-10.947,0.682,-0.790,-0.260,0.200,0.173,0.032,0.1,-0.065,21.597,3.954
46.543,4,38.993,-75.984,102.185,-1.307,-1.846,-6.022,0.438,-2.912,-0.085,687.037,0.000,165.349,32.353,1002.150,30.290,92.773,39.0829276,-75.8757051,81.239,-6.657,1.401,5.900,20,13:24:40,-9.754,2.097,-1.925,-0.092,0.083,0.028,0.032,0.1,-0.011,21.585,3.943
46.817,4,39.021,-76.000,100.124,-0.883,-2.019,-6.348,0.437,-1.980,-0.067,687.037,0.000,164.712,32.627,1002.380,30.290,90.842,39.0829101,-75.8757008,79.671,-6.733,1.720,5.934,20,13:24:40,-9.776,0.488,-1.796,0.009,-0.309,-0.337,0.032,0.1,-0.035,21.603,3.954
47.090,4,39.034,-76.002,98.230,-0.761,-1.969,-6.560,-0.952,-1.788,0.095,687.037,0.000,164.092,32.900,1002.610,30.280,88.912,39.0828932,-75.8756960,78.122,-6.631,1.811,6.139,20,13:24:40,-10.085,-0.704,0.129,-0.153,-0.211,-0.260,0.032,0.1,0.010,21.581,3.943
47.361,4,39.032,-76.003,96.631,-0.829,-2.073,-6.454,-0.959,-2.403,-0.298,687.037,0.000,164.195,33.171,1002.790,30.280,87.402,39.0828827,-75.8756927,77.049,-6.737,1.882,6.340,20,13:24:40,-9.833,-0.208,0.654,-0.262,0.028,0.011,0.032,0.1,0.004,21.592,3.966
47.633,4,39.035,-76.010,95.020,-0.728,-2.202,-6.512,0.110,-3.062,1.287,687.037,0.000,163.325,33.443,1003.000,30.280,85.640,39.0828652,-75.8756867,75.268,-7.066,2.084,6.610,20,13:24:41,-11.478,0.431,-0.769,-0.349,0.266,-0.038,0.032,0.1,-0.016,21.597,3.954
47.906,4,39.050,-76.033,93.293,-0.432,-2.525,-6.303,0.696,-2.817,-0.523,687.037,0.000,162.035,33.717,1003.210,30.270,83.878,39.0828479,-75.8756800,73.550,-6.240,3.059,7.195,23,13:24:41,-9.568,0.955,-1.487,-0.211,0.200,-0.028,0.032,0.1,-0.015,21.583,3.949
48.179,4,39.069,-76.045,91.597,-0.134,-2.667,-6.545,0.512,-2.562,-1.829,687.037,0.000,159.909,33.989,1003.420,30.250,82.117,39.0828297,-75.8756763,72.546,-5.572,3.508,7.562,24,13:24:41,-8.303,0.532,-1.135,-0.038,-0.013,-0.341,0.032,0.1,-0.004,21.601,3.949
48.451,4,39.082,-76.040,89.800,0.015,-2.677,-6.411,0.186,-3.111,3.407,687.037,0.000,158.698,34.261,1003.600,30.240,80.607,39.0828197,-75.8756690,71.179,-5.162,4.187,8.758,22,13:24:41,-13.475,-1.006,-1.343,-0.187,-0.100,0.036,0.032,0.1,0.008,21.592,3.960
48.724,4,39.083,-76.047,88.228,-0.019,-2.673,-6.509,-0.408,-3.135,-0.074,687.037,0.000,160.967,34.534,1003.790,30.240,79.014,39.0828053,-75.8756562,68.887,-4.946,4.898,9.091,20,13:24:42,-10.221,-0.244,0.503,-0.315,-0.124,0.089,0.032,0.1,-0.012,21.608,3.960
48.998,4,39.077,-76.064,86.602,-0.073,-2.941,-6.353,0.472,-2.578,-2.189,687.037,0.000,162.172,34.807,1004.010,30.230,77.169,39.0827913,-75.8756409,66.384,-5.261,5.244,9.176,21,13:24:42,-8.030,0.632,-0.259,-0.522,0.228,0.185,0.032,0.1,0.045,21.585,3.960
49.272,4,39.088,-76.065,84.919,0.122,-2.814,-6.912,0.348,-0.512,-8.246,687.037,0.000,161.707,35.082,1004.210,30.220,75.493,39.0827755,-75.8756266,64.368,-4.786,5.885,9.494,22,13:24:42,-1.631,0.330,-0.251,-0.518,0.205,-0.083,0.032,0.1,0.004,21.610,3.949
49.542,4,39.113,-76.060,83.041,0.607,-2.949,-6.275,1.563,-3.155,2.365,687.037,0.000,160.345,35.352,1004.430,30.230,73.649,39.0827645,-75.8756183,63.237,-4.611,6.152,10.916,21,13:24:43,-12.527,0.998,-1.645,-0.622,-0.249,-0.273,0.032,0.1,-0.024,21.601,3.954
49.793,4,39.121,-76.059,81.412,0.586,-2.824,-6.701,0.134,-2.555,-0.429,687.037,0.000,160.231,35.602,1004.640,30.220,71.890,39.0827513,-75.8756001,60.880,-4.342,6.127,8.916,19,13:24:43,-9.704,-0.575,-0.244,-0.692,-0.158,-0.268,0.032,0.1,-0.001,21.594,3.954
50.062,4,39.111,-76.047,79.868,0.433,-2.738,-6.515,0.487,-2.503,-1.055,687.037,0.000,160.802,35.872,1004.810,30.220,70.466,39.0827434,-75.8755867,59.215,-4.522,5.828,8.426,19,13:24:43,-9.115,-0.194,-0.172,-0.771,-0.032,0.166,0.032,0.1,0.009,21.574,3.960
50.336,4,39.112,-76.046,78.116,0.472,-2.698,-6.694,0.761,-2.558,0.098,687.037,0.000,162.901,36.146,1005.000,30.220,68.874,39.0827317,-75.8755661,56.685,-4.213,5.782,8.559,23,13:24:43,-10.250,0.417,-0.244,-0.739,-0.002,0.062,0.032,0.1,0.012,21.578,3.949
50.612,4,39.121,-76.050,76.206,0.602,-2.673,-6.824,0.534,-2.355,-0.220,687.037,0.000,163.363,36.422,1005.250,30.210,66.780,39.0827197,-75.8755481,54.566,-4.465,5.402,6.839,20,13:24:44,-9.869,0.582,-0.230,-0.801,0.021,0.043,0.032,0.1,0.003,21.587,3.960
50.888,4,39.126,-76.042,74.521,0.699,-2.475,-6.771,0.998,-1.331,-0.761,687.037,0.000,163.456,36.697,1005.450,30.200,65.105,39.0827077,-75.8755309,52.779,-4.484,5.208,6.323,23,13:24:44,-9.065,1.408,-0.704,-0.695,0.075,-0.094,0.032,0.1,-0.003,21.597,3.954
51.157,4,39.123,-76.018,72.676,0.608,-2.217,-6.796,-0.054,-1.363,-0.137,687.037,0.000,164.432,36.967,1005.660,30.210,63.347,39.0827002,-75.8755190,51.574,-4.170,5.419,6.253,22,13:24:44,-9.690,0.287,-1.207,-0.629,-0.070,-0.062,0.032,0.1,0.035,21.594,3.954
51.408,4,39.110,-76.010,70.998,0.327,-2.055,-6.836,-0.919,-1.747,-0.089,687.037,0.000,167.625,37.217,1005.860,30.190,61.673,39.0826895,-75.8755013,49.745,-3.924,5.351,6.499,21,13:24:44,-9.833,-0.747,-1.070,-0.565,-0.147,0.021,0.032,0.1,0.004,21.592,3.954
51.679,4,39.095,-76.005,69.133,0.183,-1.985,-6.897,0.361,-1.482,-0.145,687.037,0.000,169.582,37.489,1006.080,30.190,59.832,39.0826792,-75.8754828,47.702,-3.855,5.381,7.029,22,13:24:45,-9.762,0.618,0.251,-0.528,-0.104,0.230,0.032,0.1,0.007,21.592,3.960
51.949,4,39.099,-75.995,67.303,0.285,-1.891,-6.778,0.473,-1.332,0.591,687.037,0.000,169.267,37.758,1006.290,30.190,58.075,39.0826727,-75.8754702,46.237,-3.535,5.484,7.343,23,13:24:45,-10.394,1.207,0.833,-0.592,-0.023,0.045,0.032,0.1,0.014,21.585,3.949
52.222,4,39.099,-75.987,65.510,0.231,-1.729,-6.700,-0.408,-1.162,0.165,687.037,0.000,170.069,38.032,1006.490,30.180,56.401,39.0826633,-75.8754516,44.321,-3.451,5.818,6.908,19,13:24:45,-10.027,0.690,0.014,-0.658,0.124,-0.079,0.032,0.1,-0.022,21.587,3.943
52.492,4,39.087,-75.975,63.588,-0.007,-1.578,-6.744,-1.052,-1.088,0.076,687.037,0.000,171.039,38.301,1006.770,30.190,54.059,39.0826573,-75.8754388,43.016,-3.314,5.511,6.946,21,13:24:45,-9.970,0.481,-0.632,-0.795,-0.064,0.047,0.032,0.1,0.009,21.597,3.949
52.765,4,39.074,-75.967,61.743,-0.185,-1.429,-6.627,-0.359,-0.851,0.754,687.037,0.000,172.043,38.579,1006.950,30.180,52.553,39.0826451,-75.8754125,40.445,-3.322,5.830,6.947,21,13:24:46,-10.573,0.725,0.366,-0.671,-0.117,-0.211,0.032,0.1,0.004,21.576,3.954
53.039,4,39.069,-75.958,59.959,-0.216,-1.300,-6.477,-0.245,-0.884,0.244,687.037,0.000,171.849,38.848,1007.180,30.180,50.630,39.0826367,-75.8754019,39.670,-3.532,5.556,6.320,22,13:24:46,-10.056,0.366,0.812,-0.663,-0.134,-0.075,0.032,0.1,0.015,21.590,3.943
53.313,4,39.071,-75.957,58.148,-0.159,-1.237,-6.496,0.077,-0.752,0.415,687.037,0.000,172.565,39.123,1007.420,30.170,48.624,39.0826243,-75.8753878,38.558,-3.283,5.161,6.314,23,13:24:46,-10.192,0.165,1.099,-0.767,0.115,0.077,0.032,0.1,-0.005,21.594,3.949
53.587,4,39.072,-75.950,56.390,-0.175,-1.128,-6.412,-0.445,-0.623,-0.131,687.037,0.000,172.945,39.397,1007.630,30.160,46.868,39.0826131,-75.8753745,37.333,-2.937,5.041,6.603,21,13:24:47,-9.675,0.733,0.345,-0.748,0.026,0.173,0.032,0.1,-0.017,21.601,3.960
53.857,4,39.065,-75.940,54.758,-0.334,-1.012,-6.282,-1.017,-0.856,0.327,687.037,0.000,172.671,39.667,1007.790,30.160,45.531,39.0826054,-75.8753658,36.516,-3.872,4.623,6.493,24,13:24:47,-10.157,1.156,-0.172,-0.354,-0.026,-0.098,0.032,0.1,-0.022,21.583,3.960
54.131,4,39.055,-75.937,52.984,-0.459,-0.973,-6.320,-0.452,-0.758,0.263,687.037,0.000,173.282,39.942,1008.000,30.150,43.776,39.0825932,-75.8753524,35.026,-3.322,4.843,6.793,26,13:24:47,-10.092,0.488,0.409,-0.130,-0.015,-0.160,0.032,0.1,-0.006,21.581,3.954
54.405,4,39.057,-75.938,51.052,-0.374,-0.991,-6.434,0.206,-1.047,0.555,687.037,0.000,172.731,40.215,1008.280,30.160,41.436,39.0825823,-75.8753363,33.399,-3.651,5.098,6.376,22,13:24:47,-10.372,-0.524,0.848,0.066,0.077,-0.113,0.032,0.1,0.003,21.599,3.960
54.681,4,39.066,-75.942,49.566,-0.223,-1.013,-6.140,-0.082,-0.850,-0.139,687.037,0.000,172.898,40.490,1008.420,30.140,40.267,39.0825718,-75.8753193,31.987,-2.886,5.347,5.887,24,13:24:48,-9.690,0.144,0.596,0.117,-0.002,0.055,0.032,0.1,-0.022,21.581,3.949
54.951,4,39.064,-75.934,47.707,-0.333,-0.897,-6.325,-0.674,-0.269,-0.098,687.037,0.000,173.447,40.761,1008.640,30.140,38.430,39.0825649,-75.8753083,31.114,-2.585,5.317,5.857,24,13:24:48,-9.661,1.156,0.417,0.209,0.011,-0.062,0.032,0.1,0.006,21.594,3.949
55.224,4,39.058,-75.927,45.742,-0.379,-0.773,-6.555,-0.208,-0.580,-0.245,687.037,0.000,174.559,41.034,1008.900,30.130,36.258,39.0825562,-75.8752900,29.249,-3.507,4.765,6.136,23,13:24:48,-9.568,0.453,0.352,0.341,-0.109,-0.102,0.032,0.1,0.044,21.578,3.954
55.494,4,39.063,-75.923,44.147,-0.294,-0.798,-6.450,-0.164,-1.115,0.085,687.037,0.000,176.382,41.304,1009.070,30.140,34.839,39.0825499,-75.8752785,27.975,-3.513,4.712,6.195,23,13:24:48,-9.955,-0.259,-0.093,0.407,-0.017,0.019,0.032,0.1,0.001,21.587,3.949
55.768,4,39.066,-75.928,42.415,-0.248,-0.876,-6.419,-0.042,-0.928,0.060,687.037,0.000,175.274,41.581,1009.270,30.130,33.169,39.0825379,-75.8752575,25.207,-3.968,3.908,7.043,24,13:24:49,-9.912,0.101,0.115,0.599,-0.068,0.079,0.032,0.1,-0.024,21.583,3.954
56.041,4,39.071,-75.925,40.527,-0.156,-0.760,-6.464,0.338,-0.032,0.383,687.037,0.000,174.008,41.850,1009.510,30.130,31.166,39.0825318,-75.8752476,23.767,-3.381,4.219,7.432,23,13:24:49,-10.113,1.063,0.776,0.528,0.083,0.062,0.032,0.1,-0.003,21.603,3.960
56.314,4,39.079,-75.918,38.853,-0.013,-0.643,-6.261,0.283,-0.572,0.899,687.037,0.000,174.176,42.123,1009.700,30.120,29.581,39.0825242,-75.8752329,21.704,-2.912,4.114,6.817,26,13:24:49,-10.710,0.632,0.029,0.460,0.217,-0.102,0.032,0.1,0.015,21.576,3.949
56.587,4,39.080,-75.920,36.996,-0.056,-0.724,-6.237,-0.165,-1.119,0.376,687.037,0.000,175.126,42.397,1009.930,30.110,27.662,39.0825174,-75.8752179,19.746,-2.608,4.328,6.185,23,13:24:50,-10.221,-0.251,-0.711,0.477,0.023,-0.058,0.032,0.1,0.017,21.565,3.949
56.856,4,39.081,-75.922,35.518,0.011,-0.751,-6.135,0.591,-0.556,-0.298,687.037,0.000,175.681,42.665,1010.110,30.120,26.160,39.0825135,-75.8752078,18.558,-2.415,4.398,5.853,23,13:24:50,-9.539,0.201,0.338,0.452,-0.013,0.023,0.032,0.1,-0.014,21.601,3.949
57.129,4,39.094,-75.919,33.746,0.243,-0.669,-6.269,0.918,-0.456,-0.321,687.037,0.000,174.793,42.939,1010.300,30.120,24.575,39.0825069,-75.8751928,16.715,-2.243,4.055,6.312,24,13:24:50,-9.510,0.496,0.639,0.341,0.094,-0.011,0.032,0.1,-0.017,21.590,3.949
57.402,4,39.100,-75.916,31.959,0.281,-0.646,-6.385,0.091,-0.703,0.035,687.037,0.000,173.476,43.212,1010.550,30.110,22.491,39.0825013,-75.8751790,14.665,-1.262,4.109,7.392,24,13:24:50,-9.855,0.237,-0.496,0.388,0.011,0.089,0.032,0.1,0.028,21.571,3.960
57.676,4,39.097,-75.918,30.077,0.199,-0.659,-6.532,-0.189,-0.488,-0.220,687.037,0.000,172.902,43.485,1010.770,30.100,20.656,39.0824987,-75.8751661,12.203,-0.159,3.783,8.856,23,13:24:51,-9.553,0.244,-0.955,0.285,-0.100,-0.051,0.032,0.1,-0.004,21.587,3.954
57.946,4,39.094,-75.914,28.397,0.189,-0.618,-6.476,0.237,-0.537,0.132,687.037,0.000,173.123,43.755,1010.960,30.110,19.072,39.0824967,-75.8751580,10.693,-1.026,3.217,7.992,22,13:24:51,-9.941,0.409,-0.438,0.315,-0.092,0.047,0.032,0.1,-0.011,21.610,3.949
58.219,4,39.098,-75.915,26.574,0.268,-0.664,-6.403,0.550,-1.131,0.761,687.037,0.000,173.583,44.029,1011.190,30.100,17.155,39.0824945,-75.8751475,8.225,-0.419,2.793,8.399,21,13:24:51,-10.645,0.036,0.136,0.239,-0.013,0.036,0.032,0.1,0.010,21.585,3.949
58.489,4,39.101,-75.923,24.953,0.301,-0.823,-6.202,0.160,-1.224,0.419,687.037,0.000,172.996,44.299,1011.370,30.110,15.655,39.0824934,-75.8751403,6.666,-0.395,3.024,8.028,22,13:24:51,-10.300,-0.158,-0.208,0.433,0.100,0.019,0.032,0.1,0.025,21.576,3.954
58.741,4,39.101,-75.932,23.261,0.261,-0.889,-6.238,-0.154,-0.787,0.590,687.037,0.000,170.705,44.550,1011.610,30.090,13.655,39.0824907,-75.8751257,4.671,-0.580,4.605,6.932,23,13:24:52,-10.379,0.424,-0.941,0.364,-0.121,0.136,0.032,0.1,-0.017,21.562,3.960
59.016,4,39.095,-75.933,21.715,0.178,-0.889,-5.987,0.008,-0.825,-0.065,687.037,0.000,170.103,44.825,1011.770,30.090,12.322,39.0824872,-75.8751108,2.696,-0.773,4.438,6.504,24,13:24:52,-9.740,0.496,-0.733,0.228,0.013,-0.017,0.032,0.1,-0.013,21.594,3.960
59.290,4,39.092,-75.933,19.986,0.128,-0.903,-6.163,-0.253,-0.995,-0.223,687.037,0.000,170.211,45.099,1011.970,30.090,10.656,39.0824837,-75.8750950,0.886,-0.938,4.703,5.996,23,13:24:52,-9.611,0.259,-0.733,0.207,-0.162,-0.092,0.032,0.1,-0.030,21.576,3.954
59.560,4,39.085,-75.936,18.249,0.001,-0.997,-6.272,-0.387,-1.343,-0.584,687.037,0.000,170.608,45.369,1012.190,30.100,8.824,39.0824816,-75.8750849,-0.353,-0.699,4.591,6.327,24,13:24:53,-9.323,-0.029,-0.388,0.026,-0.040,-0.023,0.032,0.1,-0.047,21.594,3.949
59.832,4,39.079,-75.942,16.504,-0.075,-1.102,-6.478,-0.205,-1.319,-0.795,687.037,0.000,169.008,45.642,1012.380,30.090,7.242,39.0824787,-75.8750704,-2.299,-0.520,4.588,6.910,23,13:24:53,-9.101,0.438,-0.194,-0.177,0.049,0.205,0.032,0.1,0.034,21.585,3.954
60.106,4,39.076,-75.950,14.667,-0.109,-1.164,-6.647,-0.248,-1.091,-0.455,687.037,0.000,167.550,45.917,1012.610,30.090,5.327,39.0824759,-75.8750554,-4.288,-0.934,4.973,6.544,24,13:24:53,-9.366,0.941,-0.388,-0.179,-0.002,0.126,0.032,0.1,-0.024,21.590,3.960
60.379,4,39.069,-75.950,12.918,-0.254,-1.183,-6.587,-0.776,-1.187,0.413,687.037,0.000,167.590,46.189,1012.820,30.090,3.578,39.0824735,-75.8750401,-6.424,-0.614,4.639,7.118,26,13:24:53,-10.250,0.690,-0.991,-0.102,0.017,0.047,0.032,0.1,-0.042,21.574,3.954
60.649,4,39.058,-75.952,11.281,-0.465,-1.260,-6.391,-1.339,-1.497,-0.015,687.037,0.000,168.736,46.459,1013.000,30.080,2.080,39.0824719,-75.8750296,-7.821,-0.568,4.333,7.386,26,13:24:54,-9.934,-0.065,-1.135,-0.034,-0.049,0.055,0.032,0.1,-0.004,21.578,3.954
60.922,4,39.047,-75.956,9.520,-0.581,-1.276,-6.418,-0.733,-1.021,0.154,687.037,0.000,169.249,46.732,1013.220,30.090,0.250,39.0824699,-75.8750149,-9.908,-0.685,4.175,7.482,25,13:24:54,-10.006,0.783,-0.359,-0.100,-0.183,0.023,0.032,0.1,-0.008,21.583,3.949
61.194,4,39.045,-75.955,7.805,-0.571,-1.231,-6.336,-0.086,-0.844,0.171,687.037,0.000,169.593,47.004,1013.440,30.080,-1.581,39.0824663,-75.8749990,-11.885,-1.378,4.767,7.217,22,13:24:54,-9.927,1.228,0.546,0.119,-0.104,-0.070,0.032,0.1,0.006,21.581,3.949
61.463,4,39.049,-75.950,5.823,-0.560,-1.222,-6.477,-0.902,-1.308,0.109,687.037,0.000,170.625,47.273,1013.670,30.080,-3.494,39.0824656,-75.8749881,-13.660,-0.761,4.942,8.863,25,13:24:54,-10.042,0.244,0.158,0.153,-0.072,-0.089,0.032,0.1,-0.043,21.578,3.954
61.737,4,39.038,-75.953,4.086,-0.766,-1.238,-6.410,-1.571,-1.073,-0.305,687.037,0.000,171.204,47.550,1013.860,30.080,-5.074,39.0824640,-75.8749641,-17.535,-0.413,5.009,10.856,22,13:24:55,-9.675,-0.086,-0.582,0.217,-0.164,0.060,0.032,0.1,-0.013,21.587,3.960
62.011,4,39.028,-75.949,2.607,-0.880,-1.119,-6.287,-0.899,-0.573,-1.013,687.037,0.000,169.256,47.821,1014.060,30.070,-6.738,39.0824631,-75.8749521,-19.659,-0.458,4.875,11.094,23,13:24:55,-8.821,0.840,-0.115,0.130,-0.198,0.126,0.032,0.1,0.017,21.585,3.949
62.286,4,39.029,-75.938,0.842,-0.792,-0.928,-6.451,-0.170,-0.329,-0.682,687.037,0.000,168.295,48.095,1014.280,30.070,-8.567,39.0824640,-75.8749356,-23.475,0.586,4.250,13.638,25,13:24:55,-8.971,1.645,0.524,0.187,-0.053,-0.055,0.032,0.1,0.019,21.576,3.949
62.584,6,39.000,-76.296,1.409,-0.358,-5.686,2.981,19.753,19.087,-19.814,687.037,0.000,127.530,0.000,1014.480,30.020,-10.229,39.0824659,-75.8749202,-27.314,1.038,4.023,13.627,27,13:24:56,26.792,9.302,7.089,1.038,2.474,5.714,0.021,0.1,0.031,21.576,3.937
62.840,6,38.991,-75.937,-1.678,-1.599,-0.056,0.130,-4.053,0.924,2.824,687.037,0.000,63.811,0.248,1014.620,30.010,-11.393,39.0824692,-75.8749111,-29.859,2.987,3.556,12.426,24,13:24:56,5.789,9.115,-7.765,-0.268,1.532,2.058,0.021,0.1,-0.018,21.571,3.954
63.114,6,39.082,-75.853,-2.809,-0.153,0.486,-2.004,-7.805,2.309,1.866,687.037,0.000,62.053,0.522,1014.720,30.040,-12.224,39.0824712,-75.8749022,-31.864,0.819,2.547,5.470,26,13:24:56,8.188,7.880,-8.569,-0.435,0.032,-1.430,0.019,0.1,0.038,21.560,3.954
63.387,6,38.980,-75.748,-3.014,-1.751,1.588,-2.088,-0.422,-9.732,10.583,687.037,0.000,62.905,0.795,1014.720,30.050,-12.224,39.0824673,-75.8748956,-31.900,-0.614,1.040,0.938,27,13:24:56,0.970,21.972,-5.200,-0.145,0.023,0.036,0.018,0.1,-0.004,21.549,3.943
63.653,6,38.946,-75.832,-3.003,-2.303,0.373,-1.724,-3.711,-3.442,-0.702,687.037,0.000,62.996,1.064,1014.730,30.070,-12.307,39.0824658,-75.8748953,-31.713,0.022,0.003,-0.153,28,13:24:57,0.776,8.663,-5.739,-0.149,0.006,0.055,0.018,0.1,-0.022,21.562,3.954
63.927,6,38.925,-75.895,-2.764,-2.524,-0.580,-1.356,-2.630,-3.434,-0.770,687.037,0.000,63.490,1.335,1014.670,30.060,-11.809,39.0824649,-75.8748955,-31.385,0.101,0.023,0.106,28,13:24:57,0.790,8.813,-4.705,0.102,0.004,-0.023,0.018,0.1,-0.003,21.583,3.960
64.202,6,38.914,-75.945,-3.078,-2.643,-1.276,-1.545,-2.808,-3.316,-0.803,687.037,0.000,64.419,1.610,1014.740,30.050,-12.391,39.0824637,-75.8748956,-31.071,0.030,-0.044,-0.010,27,13:24:57,0.704,8.698,-4.884,-0.011,0.055,0.015,0.018,0.1,0.008,21.576,3.960
64.471,6,38.917,-75.976,-2.888,-2.691,-1.767,-1.234,-2.704,-2.995,-0.858,687.037,0.000,65.091,1.879,1014.700,30.060,-12.058,39.0824627,-75.8748956,-30.825,0.100,0.084,0.116,27,13:24:57,0.848,8.505,-4.834,-0.085,0.021,0.028,0.018,0.1,0.015,21.562,3.954
64.739,6,38.912,-76.002,-3.084,-2.727,-2.117,-1.301,-2.637,-3.105,-0.826,687.037,0.000,65.726,2.146,1014.760,30.070,-12.557,39.0824610,-75.8748960,-30.474,-0.052,-0.051,-0.148,27,13:24:58,0.654,8.562,-4.856,0.000,0.043,-0.028,0.018,0.1,-0.007,21.553,3.949
65.015,6,38.905,-76.023,-3.127,-2.743,-2.369,-1.207,-2.526,-2.968,-0.756,687.037,0.000,66.086,2.423,1014.750,30.060,-12.474,39.0824589,-75.8748971,-30.013,0.006,0.021,0.013,27,13:24:58,0.776,8.584,-4.784,0.066,0.006,0.013,0.018,0.1,-0.008,21.530,3.954
65.291,6,38.903,-76.039,-2.958,-2.738,-2.555,-0.973,-2.485,-2.919,-0.742,687.037,0.000,66.386,2.699,1014.710,30.050,-12.141,39.0824570,-75.8748976,-29.508,0.030,-0.002,0.021,27,13:24:58,0.769,8.591,-4.748,-0.009,-0.038,0.119,0.018,0.1,0.007,21.551,3.954
